pathway_name	website
Arachidonate production from DAG	http://identifiers.org/reactome/R-HSA-426048
Arachidonic acid metabolism	http://identifiers.org/reactome/R-HSA-2142753
ARL13B-mediated ciliary trafficking of INPP5E	http://identifiers.org/reactome/R-HSA-5624958
ARMS-mediated activation	http://identifiers.org/reactome/R-HSA-170984
Aryl hydrocarbon receptor signalling	http://identifiers.org/reactome/R-HSA-8937144
Asparagine N-linked glycosylation	http://identifiers.org/reactome/R-HSA-446203
Assembly of active LPL and LIPC lipase complexes	http://identifiers.org/reactome/R-HSA-8963889
Assembly of collagen fibrils and other multimeric structures	http://identifiers.org/reactome/R-HSA-2022090
Assembly Of The HIV Virion	http://identifiers.org/reactome/R-HSA-175474
Assembly of the ORC complex at the origin of replication	http://identifiers.org/reactome/R-HSA-68616
Assembly of the pre-replicative complex	http://identifiers.org/reactome/R-HSA-68867
Association of TriC/CCT with target proteins during biosynthesis	http://identifiers.org/reactome/R-HSA-390471
Astrocytic Glutamate-Glutamine Uptake And Metabolism	http://identifiers.org/reactome/R-HSA-210455
Asymmetric localization of PCP proteins	http://identifiers.org/reactome/R-HSA-4608870
ATF4 activates genes	http://identifiers.org/reactome/R-HSA-380994
ATF6 (ATF6-alpha) activates chaperone genes	http://identifiers.org/reactome/R-HSA-381183
ATF6 (ATF6-alpha) activates chaperones	http://identifiers.org/reactome/R-HSA-381033
ATP sensitive Potassium channels	http://identifiers.org/reactome/R-HSA-1296025
Attachment of GPI anchor to uPAR	http://identifiers.org/reactome/R-HSA-162791
Attenuation phase	http://identifiers.org/reactome/R-HSA-3371568
AUF1 (hnRNP D0) binds and destabilizes mRNA	http://identifiers.org/reactome/R-HSA-450408
AURKA Activation by TPX2	http://identifiers.org/reactome/R-HSA-8854518
Autodegradation of the E3 ubiquitin ligase COP1	http://identifiers.org/reactome/R-HSA-349425
Autointegration results in viral DNA circles	http://identifiers.org/reactome/R-HSA-177539
AXIN missense mutants destabilize the destruction complex	http://identifiers.org/reactome/R-HSA-5467340
Axonal growth inhibition (RHOA activation)	http://identifiers.org/reactome/R-HSA-193634
Axonal growth stimulation	http://identifiers.org/reactome/R-HSA-209563
B-WICH complex positively regulates rRNA expression	http://identifiers.org/reactome/R-HSA-5250924
Basigin interactions	http://identifiers.org/reactome/R-HSA-210991
BBSome-mediated cargo-targeting to cilium	http://identifiers.org/reactome/R-HSA-5620922
BDNF activates NTRK2 (TRKB) signaling	http://identifiers.org/reactome/R-HSA-9024909
Beta defensins	http://identifiers.org/reactome/R-HSA-1461957
Beta oxidation of butanoyl-CoA to acetyl-CoA	http://identifiers.org/reactome/R-HSA-77352
Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA	http://identifiers.org/reactome/R-HSA-77346
Beta oxidation of hexanoyl-CoA to butanoyl-CoA	http://identifiers.org/reactome/R-HSA-77350
Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA	http://identifiers.org/reactome/R-HSA-77310
Beta oxidation of myristoyl-CoA to lauroyl-CoA	http://identifiers.org/reactome/R-HSA-77285
Beta oxidation of octanoyl-CoA to hexanoyl-CoA	http://identifiers.org/reactome/R-HSA-77348
Beta oxidation of palmitoyl-CoA to myristoyl-CoA	http://identifiers.org/reactome/R-HSA-77305
Beta-catenin phosphorylation cascade	http://identifiers.org/reactome/R-HSA-196299
Beta-oxidation of pristanoyl-CoA	http://identifiers.org/reactome/R-HSA-389887
Beta-oxidation of very long chain fatty acids	http://identifiers.org/reactome/R-HSA-390247
betaKlotho-mediated ligand binding	http://identifiers.org/reactome/R-HSA-1307965
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members	http://identifiers.org/reactome/R-HSA-111453
Bicarbonate transporters	http://identifiers.org/reactome/R-HSA-425381
Binding and entry of HIV virion	http://identifiers.org/reactome/R-HSA-173107
Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB	http://identifiers.org/reactome/R-HSA-141333
Biosynthesis of aspirin-triggered D-series resolvins	http://identifiers.org/reactome/R-HSA-9020265
Biosynthesis of D-series resolvins	http://identifiers.org/reactome/R-HSA-9018676
Biosynthesis of DHA-derived SPMs	http://identifiers.org/reactome/R-HSA-9018677
Biosynthesis of DPAn-3-derived maresins	http://identifiers.org/reactome/R-HSA-9026290
Biosynthesis of DPAn-3-derived protectins and resolvins	http://identifiers.org/reactome/R-HSA-9026286
Biosynthesis of E-series 18(R)-resolvins	http://identifiers.org/reactome/R-HSA-9023661
Biosynthesis of E-series 18(S)-resolvins	http://identifiers.org/reactome/R-HSA-9018896
Biosynthesis of maresin conjugates in tissue regeneration (MCTR)	http://identifiers.org/reactome/R-HSA-9026762
Biosynthesis of maresin-like SPMs	http://identifiers.org/reactome/R-HSA-9027307
Biosynthesis of maresins	http://identifiers.org/reactome/R-HSA-9018682
Biosynthesis of protectin and resolvin conjugates in tissue regeneration (PCTR and RCTR)	http://identifiers.org/reactome/R-HSA-9026766
Biosynthesis of protectins	http://identifiers.org/reactome/R-HSA-9018681
Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	http://identifiers.org/reactome/R-HSA-446193
Biotin transport and metabolism	http://identifiers.org/reactome/R-HSA-196780
Bloch pathway	http://identifiers.org/reactome/R-HSA-6807047
Branched-chain amino acid catabolism	http://identifiers.org/reactome/R-HSA-70895
Breakdown of the nuclear lamina	http://identifiers.org/reactome/R-HSA-352238
Budding and maturation of HIV virion	http://identifiers.org/reactome/R-HSA-162588
Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA	http://identifiers.org/reactome/R-HSA-450385
Butyrophilin (BTN) family interactions	http://identifiers.org/reactome/R-HSA-8851680
c-src mediated regulation of Cx43 function and closure of gap junctions	http://identifiers.org/reactome/R-HSA-191647
Ca activated K+ channels	http://identifiers.org/reactome/R-HSA-1296052
Ca2+ pathway	http://identifiers.org/reactome/R-HSA-4086398
Calcineurin activates NFAT	http://identifiers.org/reactome/R-HSA-2025928
Calcitonin-like ligand receptors	http://identifiers.org/reactome/R-HSA-419812
Calmodulin induced events	http://identifiers.org/reactome/R-HSA-111933
Calnexin/calreticulin cycle	http://identifiers.org/reactome/R-HSA-901042
CaM pathway	http://identifiers.org/reactome/R-HSA-111997
Cam-PDE 1 activation	http://identifiers.org/reactome/R-HSA-111957
CaMK IV-mediated phosphorylation of CREB	http://identifiers.org/reactome/R-HSA-111932
Carboxyterminal post-translational modifications of tubulin	http://identifiers.org/reactome/R-HSA-8955332
Cargo concentration in the ER	http://identifiers.org/reactome/R-HSA-5694530
Cargo recognition for clathrin-mediated endocytosis	http://identifiers.org/reactome/R-HSA-8856825
Carnitine synthesis	http://identifiers.org/reactome/R-HSA-71262
CASP8 activity is inhibited	http://identifiers.org/reactome/R-HSA-5218900
Caspase-mediated cleavage of cytoskeletal proteins	http://identifiers.org/reactome/R-HSA-264870
Catecholamine biosynthesis	http://identifiers.org/reactome/R-HSA-209905
Cation-coupled Chloride cotransporters	http://identifiers.org/reactome/R-HSA-426117
CD209 (DC-SIGN) signaling	http://identifiers.org/reactome/R-HSA-5621575
CD22 mediated BCR regulation	http://identifiers.org/reactome/R-HSA-5690714
CD28 co-stimulation	http://identifiers.org/reactome/R-HSA-389356
CD28 dependent PI3K/Akt signaling	http://identifiers.org/reactome/R-HSA-389357
CD28 dependent Vav1 pathway	http://identifiers.org/reactome/R-HSA-389359
CDK-mediated phosphorylation and removal of Cdc6	http://identifiers.org/reactome/R-HSA-69017
CDO in myogenesis	http://identifiers.org/reactome/R-HSA-375170
cell division	http://identifiers.org/reactome/R-HSA-68884
Cell surface interactions at the vascular wall	http://identifiers.org/reactome/R-HSA-202733
Cell-extracellular matrix interactions	http://identifiers.org/reactome/R-HSA-446353
Cellular hexose transport	http://identifiers.org/reactome/R-HSA-189200
Ceramide signalling	http://identifiers.org/reactome/R-HSA-193681
cGMP effects	http://identifiers.org/reactome/R-HSA-418457
Chemokine receptors bind chemokines	http://identifiers.org/reactome/R-HSA-380108
CHL1 interactions	http://identifiers.org/reactome/R-HSA-447041
Cholesterol biosynthesis	http://identifiers.org/reactome/R-HSA-191273
Choline catabolism	http://identifiers.org/reactome/R-HSA-6798163
Chondroitin sulfate biosynthesis	http://identifiers.org/reactome/R-HSA-2022870
ChREBP activates metabolic gene expression	http://identifiers.org/reactome/R-HSA-163765
Chromatin modifying enzymes	http://identifiers.org/reactome/R-HSA-3247509
Chylomicron assembly	http://identifiers.org/reactome/R-HSA-8963888
Chylomicron clearance	http://identifiers.org/reactome/R-HSA-8964026
Chylomicron remodeling	http://identifiers.org/reactome/R-HSA-8963901
Cilium Assembly	http://identifiers.org/reactome/R-HSA-5617833
Circadian Clock	http://identifiers.org/reactome/R-HSA-400253
Citric acid cycle (TCA cycle)	http://identifiers.org/reactome/R-HSA-71403
Class A/1 (Rhodopsin-like receptors)	http://identifiers.org/reactome/R-HSA-373076
Class B/2 (Secretin family receptors)	http://identifiers.org/reactome/R-HSA-373080
Class C/3 (Metabotropic glutamate/pheromone receptors)	http://identifiers.org/reactome/R-HSA-420499
Classical antibody-mediated complement activation	http://identifiers.org/reactome/R-HSA-173623
Classical Kir channels	http://identifiers.org/reactome/R-HSA-1296053
Clathrin derived vesicle budding	http://identifiers.org/reactome/R-HSA-421837
Clathrin-mediated endocytosis	http://identifiers.org/reactome/R-HSA-8856828
Clearance of dopamine	http://identifiers.org/reactome/R-HSA-379401
Clearance of Nuclear Envelope Membranes from Chromatin	http://identifiers.org/reactome/R-HSA-2993913
Clearance of seratonin	http://identifiers.org/reactome/R-HSA-380615
Cleavage of Growing Transcript in the Termination Region	http://identifiers.org/reactome/R-HSA-109688
CLEC7A (Dectin-1) induces NFAT activation	http://identifiers.org/reactome/R-HSA-5607763
CLEC7A (Dectin-1) signaling	http://identifiers.org/reactome/R-HSA-5607764
CLEC7A/inflammasome pathway	http://identifiers.org/reactome/R-HSA-5660668
Cobalamin (Cbl, vitamin B12) transport and metabolism	http://identifiers.org/reactome/R-HSA-196741
Coenzyme A biosynthesis	http://identifiers.org/reactome/R-HSA-196783
Cohesin Loading onto Chromatin	http://identifiers.org/reactome/R-HSA-2470946
Collagen biosynthesis and modifying enzymes	http://identifiers.org/reactome/R-HSA-1650814
Collagen chain trimerization	http://identifiers.org/reactome/R-HSA-8948216
Collagen degradation	http://identifiers.org/reactome/R-HSA-1442490
Common Pathway of Fibrin Clot Formation	http://identifiers.org/reactome/R-HSA-140875
Competing endogenous RNAs (ceRNAs) regulate PTEN translation	http://identifiers.org/reactome/R-HSA-8948700
Complex I biogenesis	http://identifiers.org/reactome/R-HSA-6799198
Condensation of Prometaphase Chromosomes	http://identifiers.org/reactome/R-HSA-2514853
Condensation of Prophase Chromosomes	http://identifiers.org/reactome/R-HSA-2299718
Conjugation of benzoate with glycine	http://identifiers.org/reactome/R-HSA-177135
Conjugation of phenylacetate with glutamine	http://identifiers.org/reactome/R-HSA-177162
Conjugation of salicylate with glycine	http://identifiers.org/reactome/R-HSA-177128
Constitutive Signaling by Aberrant PI3K in Cancer	http://identifiers.org/reactome/R-HSA-2219530
Constitutive Signaling by AKT1 E17K in Cancer	http://identifiers.org/reactome/R-HSA-5674400
Constitutive Signaling by EGFRvIII	http://identifiers.org/reactome/R-HSA-5637810
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	http://identifiers.org/reactome/R-HSA-1236382
Constitutive Signaling by NOTCH1 HD Domain Mutants	http://identifiers.org/reactome/R-HSA-2691232
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	http://identifiers.org/reactome/R-HSA-2894862
Constitutive Signaling by NOTCH1 PEST Domain Mutants	http://identifiers.org/reactome/R-HSA-2644606
Constitutive Signaling by NOTCH1 t(7	http://identifiers.org/reactome/R-HSA-2660826
Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding	http://identifiers.org/reactome/R-HSA-6814122
COPI-dependent Golgi-to-ER retrograde traffic	http://identifiers.org/reactome/R-HSA-6811434
COPI-independent Golgi-to-ER retrograde traffic	http://identifiers.org/reactome/R-HSA-6811436
COPI-mediated anterograde transport	http://identifiers.org/reactome/R-HSA-6807878
COPII-mediated vesicle transport	http://identifiers.org/reactome/R-HSA-204005
Costimulation by the CD28 family	http://identifiers.org/reactome/R-HSA-388841
COX reactions	http://identifiers.org/reactome/R-HSA-140180
Creatine metabolism	http://identifiers.org/reactome/R-HSA-71288
CREB phosphorylation	http://identifiers.org/reactome/R-HSA-199920
CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling	http://identifiers.org/reactome/R-HSA-442742
CREB1 phosphorylation through the activation of Adenylate Cyclase	http://identifiers.org/reactome/R-HSA-442720
CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde	http://identifiers.org/reactome/R-HSA-442729
CREB3 factors activate genes	http://identifiers.org/reactome/R-HSA-8874211
Cristae formation	http://identifiers.org/reactome/R-HSA-8949613
CRMPs in Sema3A signaling	http://identifiers.org/reactome/R-HSA-399956
Cross-presentation of particulate exogenous antigens (phagosomes)	http://identifiers.org/reactome/R-HSA-1236973
Cross-presentation of soluble exogenous antigens (endosomes)	http://identifiers.org/reactome/R-HSA-1236978
Crosslinking of collagen fibrils	http://identifiers.org/reactome/R-HSA-2243919
CS/DS degradation	http://identifiers.org/reactome/R-HSA-2024101
CTLA4 inhibitory signaling	http://identifiers.org/reactome/R-HSA-389513
Cyclin A/B1/B2 associated events during G2/M transition	http://identifiers.org/reactome/R-HSA-69273
Cyclin D associated events in G1	http://identifiers.org/reactome/R-HSA-69231
Cyclin E associated events during G1/S transition	http://identifiers.org/reactome/R-HSA-69202
Cysteine formation from homocysteine	http://identifiers.org/reactome/R-HSA-1614603
Cytosolic iron-sulfur cluster assembly	http://identifiers.org/reactome/R-HSA-2564830
Cytosolic sensors of pathogen-associated DNA	http://identifiers.org/reactome/R-HSA-1834949
Cytosolic sulfonation of small molecules	http://identifiers.org/reactome/R-HSA-156584
Cytosolic tRNA aminoacylation	http://identifiers.org/reactome/R-HSA-379716
DAG and IP3 signaling	http://identifiers.org/reactome/R-HSA-1489509
DAP12 interactions	http://identifiers.org/reactome/R-HSA-2172127
DAP12 signaling	http://identifiers.org/reactome/R-HSA-2424491
DARPP-32 events	http://identifiers.org/reactome/R-HSA-180024
DCC mediated attractive signaling	http://identifiers.org/reactome/R-HSA-418885
DDX58/IFIH1-mediated induction of interferon-alpha/beta	http://identifiers.org/reactome/R-HSA-168928
Deactivation of the beta-catenin transactivating complex	http://identifiers.org/reactome/R-HSA-3769402
Deadenylation of mRNA	http://identifiers.org/reactome/R-HSA-429947
Dectin-1 mediated noncanonical NF-kB signaling	http://identifiers.org/reactome/R-HSA-5607761
Dectin-2 family	http://identifiers.org/reactome/R-HSA-5621480
Defective ABCC8 can cause hypoglycemias and hyperglycemias	http://identifiers.org/reactome/R-HSA-5683177
Defective AMN causes hereditary megaloblastic anemia 1	http://identifiers.org/reactome/R-HSA-3359462
Defective CFTR causes cystic fibrosis	http://identifiers.org/reactome/R-HSA-5678895
Defective CSF2RA causes pulmonary surfactant metabolism dysfunction 4 (SMDP4)	http://identifiers.org/reactome/R-HSA-5688890
Defective CSF2RB causes pulmonary surfactant metabolism dysfunction 5 (SMDP5)	http://identifiers.org/reactome/R-HSA-5688849
Defective CUBN causes hereditary megaloblastic anemia 1	http://identifiers.org/reactome/R-HSA-3359463
Defective CYP11A1 causes Adrenal insufficiency, congenital, with 46,XY sex reversal (AICSR)	http://identifiers.org/reactome/R-HSA-5579026
Defective HLCS causes multiple carboxylase deficiency	http://identifiers.org/reactome/R-HSA-3371599
Defective MTR causes methylmalonic aciduria and homocystinuria type cblG	http://identifiers.org/reactome/R-HSA-3359469
Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE	http://identifiers.org/reactome/R-HSA-3359467
Defective pro-SFTPB causes pulmonary surfactant metabolism dysfunction 1 (SMDP1) and respiratory distress syndrome (RDS)	http://identifiers.org/reactome/R-HSA-5688031
Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)	http://identifiers.org/reactome/R-HSA-5619107
Degradation of AXIN	http://identifiers.org/reactome/R-HSA-4641257
Degradation of beta-catenin by the destruction complex	http://identifiers.org/reactome/R-HSA-195253
Degradation of cysteine and homocysteine	http://identifiers.org/reactome/R-HSA-1614558
Degradation of DVL	http://identifiers.org/reactome/R-HSA-4641258
Degradation of GABA	http://identifiers.org/reactome/R-HSA-916853
Degradation of GLI1 by the proteasome	http://identifiers.org/reactome/R-HSA-5610780
Degradation of GLI2 by the proteasome	http://identifiers.org/reactome/R-HSA-5610783
Degradation of the extracellular matrix	http://identifiers.org/reactome/R-HSA-1474228
Depolymerisation of the Nuclear Lamina	http://identifiers.org/reactome/R-HSA-4419969
Deposition of new CENPA-containing nucleosomes at the centromere	http://identifiers.org/reactome/R-HSA-606279
Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models	http://identifiers.org/reactome/R-HSA-8862803
Dermatan sulfate biosynthesis	http://identifiers.org/reactome/R-HSA-2022923
Detoxification of Reactive Oxygen Species	http://identifiers.org/reactome/R-HSA-3299685
DEx/H-box helicases activate type I IFN and inflammatory cytokines production	http://identifiers.org/reactome/R-HSA-3134963
Digestion	http://identifiers.org/reactome/R-HSA-8935690
Digestion of dietary carbohydrate	http://identifiers.org/reactome/R-HSA-189085
Digestion of dietary lipid	http://identifiers.org/reactome/R-HSA-192456
Dimerization of procaspase-8	http://identifiers.org/reactome/R-HSA-69416
Disassembly of the destruction complex and recruitment of AXIN to the membrane	http://identifiers.org/reactome/R-HSA-4641262
Disinhibition of SNARE formation	http://identifiers.org/reactome/R-HSA-114516
Dissolution of Fibrin Clot	http://identifiers.org/reactome/R-HSA-75205
DNA Damage Recognition in GG-NER	http://identifiers.org/reactome/R-HSA-5696394
DNA Damage/Telomere Stress Induced Senescence	http://identifiers.org/reactome/R-HSA-2559586
DNA methylation	http://identifiers.org/reactome/R-HSA-5334118
DNA replication initiation	http://identifiers.org/reactome/R-HSA-68952
Dopamine Neurotransmitter Release Cycle	http://identifiers.org/reactome/R-HSA-212676
Downregulation of ERBB2 signaling	http://identifiers.org/reactome/R-HSA-8863795
Downregulation of ERBB4 signaling	http://identifiers.org/reactome/R-HSA-1253288
Downregulation of TGF-beta receptor signaling	http://identifiers.org/reactome/R-HSA-2173788
Downstream signal transduction	http://identifiers.org/reactome/R-HSA-186763
Downstream signaling of activated FGFR1	http://identifiers.org/reactome/R-HSA-5654687
Downstream TCR signaling	http://identifiers.org/reactome/R-HSA-202424
DSCAM interactions	http://identifiers.org/reactome/R-HSA-376172
Dual Incision in GG-NER	http://identifiers.org/reactome/R-HSA-5696400
Dual incision in TC-NER	http://identifiers.org/reactome/R-HSA-6782135
E2F-enabled inhibition of pre-replication complex formation	http://identifiers.org/reactome/R-HSA-113507
E3 ubiquitin ligases ubiquitinate target proteins	http://identifiers.org/reactome/R-HSA-8866654
Early Phase of HIV Life Cycle	http://identifiers.org/reactome/R-HSA-162594
ECM proteoglycans	http://identifiers.org/reactome/R-HSA-3000178
Effects of PIP2 hydrolysis	http://identifiers.org/reactome/R-HSA-114508
EGFR downregulation	http://identifiers.org/reactome/R-HSA-182971
EGFR interacts with phospholipase C-gamma	http://identifiers.org/reactome/R-HSA-212718
EGFR Transactivation by Gastrin	http://identifiers.org/reactome/R-HSA-2179392
